Id,Label,timeset,mode,act_type,nat,colour,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
syria constituency,syria constituency,,2,constituency/group,SYRIA,"#BB614F",1,1,1,1,1,0,0,0,7,0.005882,8,0,0,0.001872
united states constituency,united states constituency,,2,constituency/group,UNITED STATES,"#EF7DB1",1,1,1,1,1,0,0,0,8,0.005882,9,0,0,0.001872
turkey constituency,turkey constituency,,2,constituency/group,TURKEY,"#D16D79",1,1,1,1,1,0,0,0,9,0.005882,10,0,0,0.001872
italy constituency,italy constituency,,2,constituency/group,ITALY,"#B85D6F",10,12,7,0.267974,0.330662,1062,0.01822,0.002979,18,0.028392,0,0,0,0.046123
spain constituency,spain constituency,,2,constituency/group,SPAIN,"#AF6729",1,1,7,0.280182,0.303426,0,0.020245,0.00331,19,0.003054,0,0,0,0.024206
sweden constituency,sweden constituency,,2,constituency/group,SWEDEN,"#AC5933",2,3,1,1,1,1,0,0,10,0.008586,11,0,0,0.003981
ukraine constituency,ukraine constituency,,2,constituency/group,UKRAINE,"#E07595",1,1,1,1,1,0,0,0,11,0.005882,12,0,0,0.001872
switzerland constituency,switzerland constituency,,2,constituency/group,SWITZERLAND,"#B35D41",1,1,1,1,1,0,0,0,12,0.005882,13,0,0,0.001872
iraq constituency,iraq constituency,,2,constituency/group,IRAQ,"#9C4F9C",1,1,1,1,1,0,0,0,13,0.005882,14,0,0,0.001872
bulgaria constituency,bulgaria constituency,,2,constituency/group,BULGARIA,"#3983AC",2,2,7,0.282759,0.30993,122,0.020584,0.003365,19,0.005921,0,0,0,0.026513
belarus constituency,belarus constituency,,2,constituency/group,BELARUS,"#745A80",3,4,1,1,1,3,0,0,20,0.01129,15,0,0,0.006334
belgium constituency,belgium constituency,,2,constituency/group,BELGIUM,"#64638E",2,2,1,1,1,1,0,0,21,0.008586,16,0,0,0.003981
