Id,Label,timeset,mode,act_type,nat,colour,componentnumber,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,clustering,triangles,eigencentrality
French Embassy in Netherlands,French Embassy in Netherlands,,1,government/executive,FRANCE,"#6A886D",0,1,1,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
European Space Agency,European Space Agency,,1,government/executive,EUROPEAN UNION,"#5C9A5C",0,1,1,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
President of Moldova,President of Moldova,,1,government/executive,MOLDOVA,"#FF9D0C",9,1,1,2,0.666667,0.75,0,0,0,8,0.001219,0,0,0.000883
New Times,New Times,,1,media and journalists,RUSSIAN FEDERATION,"#E8D430",9,1,1,2,0.666667,0.75,0,0,0,8,0.001219,0,0,0.000883
Bundesrechnungshof ,Bundesrechnungshof ,,1,government/executive,GERMANY,"#717F75",0,1,1,6,0.237267,0.253846,0,0.000546,0.005496,17,0.000734,0,0,0.009069
Bayerischer Ministerpräsident,Bayerischer Ministerpräsident,,1,government/executive,GERMANY,"#717F75",0,1,1,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
Schröder Richard,Schröder Richard,,1,churches and religious organisations and groups,GERMANY,"#717F75",0,1,1,6,0.240534,0.256231,0,0.000485,0.004881,32,0.000727,0,0,0.009101
EU Foreign Ministers,EU Foreign Ministers,,1,government/executive,EUROPEAN UNION,"#5C9A5C",0,1,1,8,0.19356,0.203865,0,0.000029,0.000294,30,0.000884,0,0,0.001307
Ministère de la Défense,Ministère de la Défense,,1,government/executive,FRANCE,"#6A886D",0,1,1,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
Sapelli Giulio,Sapelli Giulio,,1,economists and financial experts,ITALY,"#B85D6F",0,1,1,6,0.245822,0.274866,0,0.000931,0.009362,25,0.00078,0,0,0.019656
Dorren Gaston,Dorren Gaston,,1,media and journalists,NETHERLANDS,"#FFB415",0,1,1,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
Bundesverfassungsgericht,Bundesverfassungsgericht,,1,judiciary,GERMANY,"#717F75",0,1,2,6,0.237267,0.253846,0,0.000546,0.005496,17,0.000734,0,0,0.009069
Bild,Bild,,1,media and journalists,GERMANY,"#717F75",0,2,7,6,0.319429,0.360883,456.903991,0.006934,0.06976,17,0.00125,0,0,0.073439
British PM,British PM,,1,government/executive,UNITED KINGDOM,"#E879A3",0,1,9,7,0.217679,0.234573,0,0.000104,0.00105,24,0.00083,0,0,0.005036
First Minister for Wales,First Minister for Wales,,1,government/executive,UNITED KINGDOM,"#E879A3",0,1,1,7,0.217679,0.234573,0,0.000104,0.00105,24,0.00083,0,0,0.005036
Sinn Fein,Sinn Fein,,1,political parties,IRELAND,"#A5548D",10,1,1,2,0.571429,0.625,0,0,0,15,0.001037,0,0,0.001127
Open Arms,Open Arms,,1,solidarity and human rights organisations,SPAIN,"#AF6729",0,1,1,6,0.240534,0.256231,0,0.000485,0.004881,32,0.000727,0,0,0.009101
Mayor of Bergamo,Mayor of Bergamo,,1,government/executive,ITALY,"#B85D6F",0,1,1,6,0.245822,0.274866,0,0.000931,0.009362,25,0.00078,0,0,0.019656
Deutscher Sparkassen- und Giroverband,Deutscher Sparkassen- und Giroverband,,1,employers organisations and firms,GERMANY,"#717F75",0,1,1,6,0.237267,0.253846,0,0.000546,0.005496,17,0.000734,0,0,0.009069
Mayor of Ponsacco,Mayor of Ponsacco,,1,government/executive,ITALY,"#B85D6F",0,1,1,6,0.245822,0.274866,0,0.000931,0.009362,25,0.00078,0,0,0.019656
Reichlin Lucrezia,Reichlin Lucrezia,,1,economists and financial experts,ITALY,"#B85D6F",0,1,2,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
International Monetary Fund,International Monetary Fund,,1,central banks,NA,"#FFA910",0,2,2,6,0.314045,0.354174,4950,0.006417,0.064561,26,0.0014,0,0,0.066292
Mayor of Brescia,Mayor of Brescia,,1,government/executive,ITALY,"#B85D6F",0,1,1,6,0.245822,0.274866,0,0.000931,0.009362,25,0.00078,0,0,0.019656
IGBCE,IGBCE,,1,unions and employees,GERMANY,"#717F75",0,1,1,6,0.237267,0.253846,0,0.000546,0.005496,17,0.000734,0,0,0.009069
Planbureau voor de Leefomgeving,Planbureau voor de Leefomgeving,,1,other state executive agencies,NETHERLANDS,"#FFB415",0,1,1,8,0.207037,0.227389,0,0.000307,0.003084,36,0.000775,0,0,0.0071
Sachs Jeffrey,Sachs Jeffrey,,1,economists and financial experts,UNITED STATES,"#EF7DB1",0,1,1,6,0.240534,0.256231,0,0.000485,0.004881,32,0.000727,0,0,0.009101
EU Commissioner for Crisis Management ,EU Commissioner for Crisis Management ,,1,government/executive,EUROPEAN UNION,"#5C9A5C",0,1,1,6,0.240534,0.256231,0,0.000485,0.004881,32,0.000727,0,0,0.009101
Ministero Esteri IT,Ministero Esteri IT,,1,government/executive,ITALY,"#B85D6F",0,2,4,6,0.33756,0.381694,1111.820177,0.007318,0.073625,25,0.001297,0,0,0.084027
ECB President,ECB President,,1,central banks,EUROPEAN UNION,"#5C9A5C",0,1,10,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
Brembo,Brembo,,1,employers organisations and firms,ITALY,"#B85D6F",0,1,1,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
EU Commissioner for Promoting the European Way of Life,EU Commissioner for Promoting the European Way of Life,,1,government/executive,EUROPEAN UNION,"#5C9A5C",0,1,1,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
Deutsches Institut für Wirtschaftsforschung,Deutsches Institut für Wirtschaftsforschung,,1,other scientific and research professionals and institutions,GERMANY,"#717F75",0,2,2,6,0.319429,0.360883,456.903991,0.006934,0.06976,17,0.00125,0,0,0.073439
GroenLinks,GroenLinks,,1,legislative,NETHERLANDS,"#FFB415",0,1,1,8,0.207037,0.227389,0,0.000307,0.003084,36,0.000775,0,0,0.0071
ICT,ICT,,1,solidarity and human rights organisations,NA,"#FFA910",11,1,1,1,1,1,0,0,0,9,0.001582,0,0,0.000763
CDU official,CDU official,,1,politicians,GERMANY,"#717F75",0,1,1,6,0.237267,0.253846,0,0.000546,0.005496,17,0.000734,0,0,0.009069
President of Turkey,President of Turkey,,1,government/executive,TURKEY,"#D16D79",0,2,5,6,0.229475,0.239803,18.488866,0.000109,0.001097,30,0.001334,0,0,0.003255
Accademia della Pace,Accademia della Pace,,1,solidarity and human rights organisations,ITALY,"#B85D6F",0,1,1,6,0.240534,0.256231,0,0.000485,0.004881,32,0.000727,0,0,0.009101
Ministero Esteri IT (M5S),Ministero Esteri IT (M5S),,1,government/executive,ITALY,"#B85D6F",0,1,1,6,0.245822,0.274866,0,0.000931,0.009362,25,0.00078,0,0,0.019656
Sace-Simest,Sace-Simest,,1,other state executive agencies,ITALY,"#B85D6F",0,1,2,6,0.245822,0.274866,0,0.000931,0.009362,25,0.00078,0,0,0.019656
Vice-President of European Commission,Vice-President of European Commission,,1,government/executive,EUROPEAN UNION,"#5C9A5C",0,3,9,5,0.356505,0.40003,2151.738742,0.007917,0.079654,23,0.001777,0,0,0.096522
Confindustria,Confindustria,,1,employers organisations and firms,ITALY,"#B85D6F",0,1,1,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
Tokarczuk Olga,Tokarczuk Olga,,1,media and journalists,POLAND,"#FFE428",0,2,3,6,0.280341,0.310525,437.265143,0.00153,0.015391,21,0.00126,0,0,0.032152
Adler,Adler,,1,employers organisations and firms,GERMANY,"#717F75",0,1,1,6,0.237267,0.253846,0,0.000546,0.005496,17,0.000734,0,0,0.009069
FWI,FWI,,1,employers organisations and firms,GERMANY,"#717F75",0,1,1,6,0.237267,0.253846,0,0.000546,0.005496,17,0.000734,0,0,0.009069
Wiha,Wiha,,1,employers organisations and firms,GERMANY,"#717F75",0,1,1,6,0.237267,0.253846,0,0.000546,0.005496,17,0.000734,0,0,0.009069
Syrian Democratic Forces,Syrian Democratic Forces,,1,military,SYRIA,"#BB614F",0,1,1,8,0.210309,0.220932,0,0.000038,0.00038,17,0.000855,0,0,0.001315
Turkey Ministry of Foreign Affairs,Turkey Ministry of Foreign Affairs,,1,government/executive,TURKEY,"#D16D79",0,1,1,6,0.224318,0.234109,0,0.000071,0.000716,30,0.000785,0,0,0.002048
Democratic Unionist Party,Democratic Unionist Party,,1,political parties,UNITED KINGDOM,"#E879A3",10,1,1,2,0.571429,0.625,0,0,0,15,0.001037,0,0,0.001127
Ndiaye Mouhamed,Ndiaye Mouhamed,,1,other civil society organisations and groups,ITALY,"#B85D6F",0,1,1,6,0.240534,0.256231,0,0.000485,0.004881,32,0.000727,0,0,0.009101
ex-ECB President,ex-ECB President,,1,central banks,EUROPEAN UNION,"#5C9A5C",0,1,1,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
PFPZ,PFPZ,,1,employers organisations and firms,POLAND,"#FFE428",0,1,1,6,0.260242,0.288223,0,0.001045,0.010509,21,0.00077,0,0,0.023051
Regione Lombardia,Regione Lombardia,,1,government/executive,ITALY,"#B85D6F",0,1,1,6,0.245822,0.274866,0,0.000931,0.009362,25,0.00078,0,0,0.019656
Tobis Andrzej,Tobis Andrzej,,1,media and journalists,POLAND,"#FFE428",0,1,1,6,0.260242,0.288223,0,0.001045,0.010509,21,0.00077,0,0,0.023051
US House of Representatives,US House of Representatives,,1,legislative,UNITED STATES,"#EF7DB1",12,1,1,1,1,1,0,0,0,10,0.001582,0,0,0.000763
Consiglio regionale di Terni,Consiglio regionale di Terni,,1,government/executive,ITALY,"#B85D6F",0,1,1,6,0.245822,0.274866,0,0.000931,0.009362,25,0.00078,0,0,0.019656
Spanish Government,Spanish Government,,1,government/executive,SPAIN,"#AF6729",0,1,2,6,0.238278,0.246363,0,0.000139,0.001402,31,0.000766,0,0,0.003041
Partij van de Arbeid,Partij van de Arbeid,,1,political parties,NETHERLANDS,"#FFB415",0,1,1,8,0.207037,0.227389,0,0.000307,0.003084,36,0.000775,0,0,0.0071
RIVM,RIVM,,1,other scientific and research professionals and institutions,NETHERLANDS,"#FFB415",0,1,1,8,0.207037,0.227389,0,0.000307,0.003084,36,0.000775,0,0,0.0071
Christen-Democratisch Appel,Christen-Democratisch Appel,,1,political parties,NETHERLANDS,"#FFB415",0,2,4,6,0.320528,0.362224,1358.071525,0.006694,0.067348,36,0.001291,0,0,0.071471
Israel Embassy in Germany,Israel Embassy in Germany,,1,government/executive,ISRAEL,"#AF587E",13,1,1,2,0.6,0.666667,0,0,0,12,0.001098,0,0,0.001004
Landwirtschaftsministerium,Landwirtschaftsministerium,,1,government/executive,GERMANY,"#717F75",0,1,1,6,0.237267,0.253846,0,0.000546,0.005496,17,0.000734,0,0,0.009069
Palestine Liberation Organization,Palestine Liberation Organization,,1,solidarity and human rights organisations,EGYPT,"#4BAB51",14,1,1,1,1,1,0,0,0,11,0.001582,0,0,0.000763
Israel Ministry of Transport,Israel Ministry of Transport,,1,government/executive,ISRAEL,"#AF587E",13,1,1,2,0.6,0.666667,0,0,0,12,0.001098,0,0,0.001004
George Mason University,George Mason University,,1,educational professionals and organisations,UNITED STATES,"#EF7DB1",13,1,1,2,0.6,0.666667,0,0,0,12,0.001098,0,0,0.001004
Jagiellonian University,Jagiellonian University,,1,educational professionals and organisations,POLAND,"#FFE428",0,1,1,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
En Marche,En Marche,,1,political parties,FRANCE,"#6A886D",0,3,5,5,0.356505,0.40003,2151.738742,0.007917,0.079654,21,0.001777,0,0,0.096522
Polish judges,Polish judges,,1,judiciary,POLAND,"#FFE428",0,1,1,6,0.260242,0.288223,0,0.001045,0.010509,21,0.00077,0,0,0.023051
Office for National Statistics,Office for National Statistics,,1,other state executive agencies,UNITED KINGDOM,"#E879A3",0,1,1,6,0.260242,0.288223,0,0.001045,0.010509,21,0.00077,0,0,0.023051
Scottish National Party,Scottish National Party,,1,political parties,UNITED KINGDOM,"#E879A3",15,1,1,1,1,1,0,0,0,13,0.001582,0,0,0.000763
TG5,TG5,,1,media and journalists,ITALY,"#B85D6F",0,1,1,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
EU Commissioner for Economy,EU Commissioner for Economy,,1,government/executive,EUROPEAN UNION,"#5C9A5C",0,1,2,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
UDC,UDC,,1,political parties,ITALY,"#B85D6F",0,1,1,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
EU Commissioner for Climate Action,EU Commissioner for Climate Action,,1,government/executive,EUROPEAN UNION,"#5C9A5C",0,1,1,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
Bové José,Bové José,,1,former states(wo)men,FRANCE,"#6A886D",0,1,1,8,0.205515,0.218952,0,0.000096,0.000968,22,0.000798,0,0,0.002747
Ministère de l'Économie,Ministère de l'Économie,,1,government/executive,FRANCE,"#6A886D",0,1,2,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
Nestlé,Nestlé,,1,employers organisations and firms,SWITZERLAND,"#B35D41",0,1,1,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
Group of the Greens - European Free Alliance,Group of the Greens - European Free Alliance,,1,political parties,EUROPEAN UNION,"#5C9A5C",0,1,1,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
Polish Government,Polish Government,,1,government/executive,POLAND,"#FFE428",0,1,1,6,0.260242,0.288223,0,0.001045,0.010509,21,0.00077,0,0,0.023051
Blumsztajn Weseryn,Blumsztajn Weseryn,,1,educational professionals and organisations,POLAND,"#FFE428",0,1,1,6,0.260242,0.288223,0,0.001045,0.010509,21,0.00077,0,0,0.023051
Turkish Foreign Ministry,Turkish Foreign Ministry,,1,government/executive,TURKEY,"#D16D79",0,1,1,6,0.224318,0.234109,0,0.000071,0.000716,30,0.000785,0,0,0.002048
Tukano people,Tukano people,,1,the general public,BRAZIL,"#377EB6",16,1,1,2,0.666667,0.75,0,0,0,16,0.001219,0,0,0.000883
Sassoon Donald,Sassoon Donald,,1,educational professionals and organisations,UNITED KINGDOM,"#E879A3",0,1,1,7,0.217679,0.234573,0,0.000104,0.00105,24,0.00083,0,0,0.005036
Emmott Bill,Emmott Bill,,1,media and journalists,UNITED KINGDOM,"#E879A3",0,1,1,7,0.217679,0.234573,0,0.000104,0.00105,24,0.00083,0,0,0.005036
Ministerie van Economische Zaken,Ministerie van Economische Zaken,,1,government/executive,NETHERLANDS,"#FFB415",0,1,1,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
University of Amsterdam,University of Amsterdam,,1,educational professionals and organisations,NETHERLANDS,"#FFB415",0,1,2,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
ECCHR,ECCHR,,1,solidarity and human rights organisations,NA,"#FFA910",0,1,1,6,0.240534,0.256231,0,0.000485,0.004881,32,0.000727,0,0,0.009101
EU High Representative,EU High Representative,,1,government/executive,EUROPEAN UNION,"#5C9A5C",0,3,6,6,0.317253,0.358945,1581.73604,0.006628,0.066687,23,0.001819,0,0,0.070249
Ministerie van Volksgezondheid,Ministerie van Volksgezondheid,,1,government/executive,NETHERLANDS,"#FFB415",0,2,2,6,0.250224,0.274299,896.861444,0.000792,0.007966,32,0.001264,0,0,0.016201
Christlich Demokratische Union,Christlich Demokratische Union,,1,political parties,GERMANY,"#717F75",0,1,2,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
EU Commissioner for Trade,EU Commissioner for Trade,,1,government/executive,EUROPEAN UNION,"#5C9A5C",0,1,2,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
Ost-Ausschuss,Ost-Ausschuss,,1,employers organisations and firms,GERMANY,"#717F75",0,1,2,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
EU Counter-Terrorism Coordinator,EU Counter-Terrorism Coordinator,,1,government/executive,EUROPEAN UNION,"#5C9A5C",0,1,1,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
Médecins Sans Frontières,Médecins Sans Frontières,,1,solidarity and human rights organisations,NA,"#FFA910",0,1,1,6,0.240534,0.256231,0,0.000485,0.004881,32,0.000727,0,0,0.009101
La France Insoumise,La France Insoumise,,1,political parties,FRANCE,"#6A886D",0,1,1,8,0.205515,0.218952,0,0.000096,0.000968,22,0.000798,0,0,0.002747
Rassemblement National,Rassemblement National,,1,political parties,FRANCE,"#6A886D",0,1,1,8,0.205515,0.218952,0,0.000096,0.000968,22,0.000798,0,0,0.002747
TAYSAD Association of Automotive Industry,TAYSAD Association of Automotive Industry,,1,employers organisations and firms,TURKEY,"#D16D79",0,1,1,6,0.224318,0.234109,0,0.000071,0.000716,30,0.000785,0,0,0.002048
Ghidini Gustavo,Ghidini Gustavo,,1,educational professionals and organisations,ITALY,"#B85D6F",0,1,1,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
Dansk Folkeparti,Dansk Folkeparti,,1,political parties,DENMARK,"#49A75B",0,1,2,6,0.220949,0.230113,0,0.000074,0.000741,14,0.000786,0,0,0.001709
Socialdemokraterne,Socialdemokraterne,,1,political parties,DENMARK,"#49A75B",0,1,2,6,0.220949,0.230113,0,0.000074,0.000741,14,0.000786,0,0,0.001709
Amsterdam Court of Appeal,Amsterdam Court of Appeal,,1,judiciary,NETHERLANDS,"#FFB415",0,1,1,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
Deputy Northern Irish PM,Deputy Northern Irish PM,,1,government/executive,NORTHERN IRELAND,"#FFC01A",10,1,1,2,0.571429,0.625,0,0,0,15,0.001037,0,0,0.001127
Irish PM,Irish PM,,1,government/executive,IRELAND,"#A5548D",10,1,1,2,0.571429,0.625,0,0,0,15,0.001037,0,0,0.001127
Ministero del lavoro,Ministero del lavoro,,1,government/executive,ITALY,"#B85D6F",0,1,1,6,0.245822,0.274866,0,0.000931,0.009362,25,0.00078,0,0,0.019656
PIGO,PIGO,,1,employers organisations and firms,POLAND,"#FFE428",0,1,1,6,0.260242,0.288223,0,0.001045,0.010509,21,0.00077,0,0,0.023051
SUEZ,SUEZ,,1,employers organisations and firms,POLAND,"#FFE428",0,1,1,6,0.260242,0.288223,0,0.001045,0.010509,21,0.00077,0,0,0.023051
"‎European Environmental Bureau",‎European Environmental Bureau,,1,environmental organisations and groups,EUROPEAN UNION,"#5C9A5C",0,1,1,6,0.260242,0.288223,0,0.001045,0.010509,21,0.00077,0,0,0.023051
The New European,The New European,,1,media and journalists,UNITED KINGDOM,"#E879A3",0,1,1,7,0.217679,0.234573,0,0.000104,0.00105,24,0.00083,0,0,0.005036
President of Israel,President of Israel,,1,government/executive,ISRAEL,"#AF587E",0,1,1,6,0.260242,0.288223,0,0.001045,0.010509,21,0.00077,0,0,0.023051
Krajowa Rada Sądownictwa,Krajowa Rada Sądownictwa,,1,judiciary,EUROPEAN UNION,"#5C9A5C",0,1,1,6,0.260242,0.288223,0,0.001045,0.010509,21,0.00077,0,0,0.023051
Bocconi University,Bocconi University,,1,educational professionals and organisations,ITALY,"#B85D6F",0,1,2,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
Brexit Party,Brexit Party,,1,political parties,UNITED KINGDOM,"#E879A3",0,1,1,7,0.217679,0.234573,0,0.000104,0.00105,24,0.00083,0,0,0.005036
Islington Council,Islington Council,,1,government/executive,UNITED KINGDOM,"#E879A3",0,1,1,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
House of Lords,House of Lords,,1,legislative,UNITED KINGDOM,"#E879A3",0,1,1,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
UK Government spokesperson,UK Government spokesperson,,1,government/executive,UNITED KINGDOM,"#E879A3",0,1,1,7,0.217679,0.234573,0,0.000104,0.00105,24,0.00083,0,0,0.005036
Partit Nazzjonalista,Partit Nazzjonalista,,1,political parties,MALTA,"#FF8502",0,1,1,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
President of Brazil,President of Brazil,,1,government/executive,BRAZIL,"#377EB6",16,1,2,2,0.666667,0.75,0,0,0,16,0.001219,0,0,0.000883
Wiosna,Wiosna,,1,political parties,POLAND,"#FFE428",0,1,2,6,0.260242,0.288223,0,0.001045,0.010509,21,0.00077,0,0,0.023051
minister sprawiedliwości,minister sprawiedliwości,,1,government/executive,POLAND,"#FFE428",0,2,6,5,0.345916,0.388551,1195.941581,0.007432,0.074773,21,0.001287,0,0,0.087421
Centro Studi Confindustria,Centro Studi Confindustria,,1,other scientific and research professionals and institutions,ITALY,"#B85D6F",0,1,1,6,0.245822,0.274866,0,0.000931,0.009362,25,0.00078,0,0,0.019656
Burioni Roberto,Burioni Roberto,,1,other scientific and research professionals and institutions,ITALY,"#B85D6F",0,1,1,6,0.245822,0.274866,0,0.000931,0.009362,25,0.00078,0,0,0.019656
Banca Sella,Banca Sella,,1,employers organisations and firms,ITALY,"#B85D6F",0,1,1,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
UK Brexit Minister,UK Brexit Minister,,1,government/executive,UNITED KINGDOM,"#E879A3",0,1,1,7,0.217679,0.234573,0,0.000104,0.00105,24,0.00083,0,0,0.005036
Copa-Cogeca,Copa-Cogeca,,1,employers organisations and firms,BELGIUM,"#64638E",0,1,1,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
Council of Canadians,Council of Canadians,,1,environmental organisations and groups,CANADA,"#3D8C98",0,1,1,6,0.240534,0.256231,0,0.000485,0.004881,32,0.000727,0,0,0.009101
Volkspartij voor Vrijheid en Democratie,Volkspartij voor Vrijheid en Democratie,,1,political parties,NETHERLANDS,"#FFB415",0,2,6,6,0.320528,0.362224,1358.071525,0.006694,0.067348,36,0.001291,0,0,0.071471
Polish senator,Polish senator,,1,legislative,POLAND,"#FFE428",0,1,1,6,0.260242,0.288223,0,0.001045,0.010509,21,0.00077,0,0,0.023051
Ministero della Salute,Ministero della Salute,,1,government/executive,ITALY,"#B85D6F",0,1,5,6,0.245822,0.274866,0,0.000931,0.009362,25,0.00078,0,0,0.019656
US State Department,US State Department,,1,government/executive,UNITED STATES,"#EF7DB1",0,1,1,8,0.172851,0.183401,0,0.000005,0.000048,2,0.000889,0,0,0.001702
US Embassy in Italy,US Embassy in Italy,,1,government/executive,UNITED STATES,"#EF7DB1",0,1,2,8,0.172851,0.183401,0,0.000005,0.000048,2,0.000889,0,0,0.001702
Carbon Disclosure Project,Carbon Disclosure Project,,1,environmental organisations and groups,UNITED KINGDOM,"#E879A3",0,1,1,6,0.240534,0.256231,0,0.000485,0.004881,32,0.000727,0,0,0.009101
Syria Relief & Development,Syria Relief & Development,,1,solidarity and human rights organisations,UNITED KINGDOM,"#E879A3",0,1,1,8,0.210309,0.220932,0,0.000038,0.00038,17,0.000855,0,0,0.001315
Ministre chargé des Affaires européennes,Ministre chargé des Affaires européennes,,1,government/executive,FRANCE,"#6A886D",0,1,1,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
European External Action Service,European External Action Service,,1,government/executive,EUROPEAN UNION,"#5C9A5C",0,3,4,5,0.347205,0.390638,1852.842496,0.007506,0.075514,21,0.001836,0,0,0.08913
DIHK,DIHK,,1,employers organisations and firms,GERMANY,"#717F75",0,1,2,6,0.237267,0.253846,0,0.000546,0.005496,17,0.000734,0,0,0.009069
Spanish farmer,Spanish farmer,,1,farmers and agricultural organisations,SPAIN,"#AF6729",0,1,1,6,0.238278,0.246363,0,0.000139,0.001402,31,0.000766,0,0,0.003041
Government of Marocco,Government of Marocco,,1,government/executive,MAROCCO,"#FF9107",0,1,1,6,0.238278,0.246363,0,0.000139,0.001402,31,0.000766,0,0,0.003041
Il Fatto Quotidiano,Il Fatto Quotidiano,,1,media and journalists,ITALY,"#B85D6F",0,1,1,6,0.245822,0.274866,0,0.000931,0.009362,25,0.00078,0,0,0.019656
ECDC,ECDC,,1,other state executive agencies,EUROPEAN UNION,"#5C9A5C",0,1,1,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
La Repubblica,La Repubblica,,1,media and journalists,ITALY,"#B85D6F",0,2,2,6,0.33756,0.381694,1111.820177,0.007318,0.073625,25,0.001297,0,0,0.084027
European Central Bank,European Central Bank,,1,central banks,EUROPEAN UNION,"#5C9A5C",0,1,1,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
Summers Larry,Summers Larry,,1,former states(wo)men,UNITED STATES,"#EF7DB1",0,1,1,8,0.172851,0.183401,0,0.000005,0.000048,2,0.000889,0,0,0.001702
Austria,Austria,,1,whole polities,AUSTRIA,"#944863",4,1,1,2,0.6,0.666667,0,0,0,3,0.001098,0,0,0.001004
Turkish Government,Turkish Government,,1,government/executive,TURKEY,"#D16D79",0,3,4,6,0.314398,0.355367,3075.914319,0.006488,0.065273,30,0.001948,0,0,0.067725
JA21,JA21,,1,political parties,NETHERLANDS,"#FFB415",0,1,1,8,0.207037,0.227389,0,0.000307,0.003084,36,0.000775,0,0,0.0071
Partij voor de Vrijheid,Partij voor de Vrijheid,,1,political parties,NETHERLANDS,"#FFB415",0,1,3,8,0.207037,0.227389,0,0.000307,0.003084,36,0.000775,0,0,0.0071
EU Commissioner for Environment,EU Commissioner for Environment,,1,government/executive,EUROPEAN UNION,"#5C9A5C",0,1,1,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
German economist,German economist,,1,economists and financial experts,GERMANY,"#717F75",0,1,1,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
Chancellor of the Exchequer,Chancellor of the Exchequer,,1,government/executive,UNITED KINGDOM,"#E879A3",0,1,1,7,0.217679,0.234573,0,0.000104,0.00105,24,0.00083,0,0,0.005036
EU Commissioner for Agriculture,EU Commissioner for Agriculture,,1,government/executive,EUROPEAN UNION,"#5C9A5C",0,1,1,6,0.260242,0.288223,0,0.001045,0.010509,21,0.00077,0,0,0.023051
Vaticano,Vaticano,,1,churches and religious organisations and groups,ITALY,"#B85D6F",0,1,1,6,0.240534,0.256231,0,0.000485,0.004881,32,0.000727,0,0,0.009101
Kozminski University,Kozminski University,,1,educational professionals and organisations,POLAND,"#FFE428",0,1,1,6,0.260242,0.288223,0,0.001045,0.010509,21,0.00077,0,0,0.023051
Baran Adam,Baran Adam,,1,other scientific and research professionals and institutions,POLAND,"#FFE428",0,1,1,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
EU Member States,EU Member States,,1,whole polities,EUROPEAN UNION,"#5C9A5C",0,1,1,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
Presidente della Regione Toscana,Presidente della Regione Toscana,,1,government/executive,ITALY,"#B85D6F",0,1,1,6,0.245822,0.274866,0,0.000931,0.009362,25,0.00078,0,0,0.019656
TIP S.p.A.,TIP S.p.A.,,1,employers organisations and firms,ITALY,"#B85D6F",0,1,1,6,0.245822,0.274866,0,0.000931,0.009362,25,0.00078,0,0,0.019656
Germany,Germany,,1,whole polities,GERMANY,"#717F75",0,2,3,6,0.246039,0.276058,558,0.000935,0.009404,25,0.001537,0,0,0.020485
